sentence,value
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
abcdef,1
fadfaf,1
{`?>**,0
{*?`+`,0
tosiii,1
